name,team_name,group,appearances,goals,assists,minutes,overall,pace,shooting,passing,dribbling,defending,physic,cluster_label,role
Dayne St. Clair,Canada,B,16,0,0,1440,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Maxime Cr?peau,Canada,B,14,0,0,1186,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Owen Goodman,Canada,B,34,0,0,3006,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Derek Cornelius,Canada,B,21,2,1,1419,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Joel Waterman,Canada,B,16,0,0,1009,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Kamal Miller,Canada,B,10,0,0,575,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Luc De Fougerolles,Canada,B,33,0,2,2092,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Jahkeele Marshall-Rutty,Canada,B,15,0,0,1031,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Richie Laryea,Canada,B,18,2,1,1597,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Niko Sigur,Canada,B,43,2,4,3148,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Ralph Priso,Canada,B,11,0,0,775,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Isma?l Kon?,Canada,B,41,7,0,3247,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Nathan-Dylan Saliba,Canada,B,48,4,2,3078,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Jonathan Osorio,Canada,B,17,0,2,1182,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Mathieu Choini?re,Canada,B,25,2,3,1331,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Ali Ahmed,Canada,B,28,5,4,1801,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Marcelo Flores,Canada,B,25,4,1,1220,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Liam Millar,Canada,B,40,3,5,2192,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Junior Hoilett,Canada,B,41,4,3,1482,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Tajon Buchanan,Canada,B,47,7,1,2720,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Jonathan David,Canada,B,52,11,5,2941,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Tani Oluwaseyi,Canada,B,42,7,3,1851,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Daniel Jebbison,Canada,B,42,6,2,2198,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Cyle Larin,Canada,B,38,10,2,1646,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
Jacen Russell-Rowe,Canada,B,16,2,0,545,74.41666666666667,473598.79411764705,67.95111111111112,76.95440729483283,1079.6117647058823,339444.9881656805,853329.4186746988,0.0,Clinical Finisher
